,LNDFH I,LNDFH II,LNFP,LNFP II/III,LNnT,LNT,LDFT,2' FL,3' FL,LNB,Lac,Fuc,Gal,Glu
infantis1,5.34E-04,3.01E-04,6.98E-04,9.48E-04,4.08E-04,7.47E-04,3.37E-04,6.67E-04,4.27E-04,1.42E-07,4.01E-04,5.22E-05,4.84E-08,5.30E-06
infantis2,4.56E-04,9.29E-05,2.66E-04,5.65E-04,5.65E-05,3.03E-04,2.09E-04,4.61E-04,3.35E-04,5.22E-05,6.40E-05,9.38E-05,6.24E-05,1.49E-04
infantis3,4.69E-04,2.27E-04,1.80E-04,5.51E-04,7.32E-05,4.57E-04,9.08E-05,4.33E-04,3.43E-04,3.27E-04,6.53E-05,1.16E-04,5.42E-05,1.82E-04
infantis4,6.34E-04,8.74E-05,3.65E-04,1.14E-03,1.79E-04,1.00E-03,2.19E-06,1.23E-03,4.69E-04,1.52E-06,3.88E-04,6.17E-05,1.30E-04,5.42E-05
bifidum,1.58E-04,7.72E-06,2.67E-03,2.56E-04,1.29E-09,5.91E-03,1.66E-03,1.53E-02,4.81E-05,6.82E-04,3.48E-04,0.00E+00,7.84E-05,9.84E-04
longum,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.17E-03,0.00E+00,0.00E+00,0.00E+00,1.63E-03,1.72E-04,0.00E+00,2.01E-03,4.98E-03
breve,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-03,0.00E+00,0.00E+00,0.00E+00,6.74E-07,2.24E-03,0.00E+00,5.10E-03,5.36E-03
Bacteroidiales bacteroides,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,2.10E-04,3.28E-04,3.28E-04,3.28E-04,1.82E-04,2.10E-04
Clostridiales clostridium,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-05,1.88E-05,4.44E-05,4.44E-05,4.44E-05
Clostridiales veillonella,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-05,1.88E-05,2.21E-05,2.21E-05,2.21E-05
Lactobacilales streptococcus,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.61E-03,5.61E-03,1.47E-05,1.47E-05,1.47E-05
Lactobacilales enterococcus,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.61E-03,5.61E-03,2.63E-03,2.63E-03,2.63E-03
Enterobacteriales gamma,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-03,1.49E-03,4.22E-04,4.22E-04,4.22E-04
