,999.91(LNDFH I),999.91 (LNDFH II ),853.70 (LNFP I),853.70 (LNFP II/II)I ,732 (LNnT),732 (LNT),634.6 (LDFT) ,488.44 (2'-FL),488.44 (3-FL ),LNB,Lactose,Fucose,Galactose,Glucose,Lactate,Acetate,Propionate,Butyrate
999.91 (LNDFH I),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999.91 (LNDFH II ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853.70 (LNFP I),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853.70 (LNFP II/II),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732 (LNnT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732 (LNT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634.57 (LDFT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.44 (2'-FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.44 (3-FL ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fucose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galactose,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Glucose,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Lactate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*Veillonella / Clostridium*,,,,,,,,,,,,,,,,,,
