,LNDFH I,LNDFH II,LNFP,LNFP II/III,LNnT,LNT,LDFT,2' FL,3' FL,LNB,Lac,Fuc,Gal,Glu
infantis1,161.3111,161.3111,76.96235,76.96235,131.2229,9.45086,0.007140226,233.1751,233.1751,124.8545,0,2677.593,13.71023,13.71023
infantis2,20.91749,20.91749,333.92157,333.92157,714.72924,306.91354,74.3841,96.54837,96.54837,836.40595,0,1497.16051,716.36077,716.36077
infantis3,151.81499,151.81499,26.83793,26.83793,145.31861,566.31116,1026.07204,18.88459,18.88459,4175.73482,0,526.42751,88.65772,88.65772
infantis4,0.01525627,6748.640977,308.967587,62.02648508,800.2038733,143.5786343,2532.814444,32.58914088,380.2114117,12736.03744,0,2087.376755,365.0355,365.0355
bifidum,0,0,0,0,0,0,0,0,0,737.32,0,0,6.90323E-07,6.90323E-07
longum,0,0,0,0,0,0,0,0,0,269.6181,0,0,2.14659E-05,2.14659E-05
breve,0,0,0,0,0,0.01860531,0,0,0,219.0913232,0,0,333.3937185,333.3937185
Bacteroidiales bacteroides,64.4248,64.4248,64.4248,64.4248,64.4248,64.4248,64.4248,64.4248,64.4248,213.55572,213.55572,129.242,412.1927,193.2719
Clostridiales clostridium,0,0,0,0,0,0,0,0,0,46.5,46.5,257.301,257.301,257.301
Clostridiales veillonella,0,0,0,0,0,0,0,0,0,46.5,46.5,1299.26,1299.26,1299.26
Lactobacilales streptococcus,0,0,0,0,0,0,0,0,0,4.07161,4.07161,998.78,998.78,998.78
Lactobacilales enterococcus,0,0,0,0,0,0,0,0,0,4.07161,4.07161,11.72,11.72,11.72
Enterobacteriales gamma,0,0,0,0,0,0,0,0,0,38.02102,38.02102,54.519,54.519,54.519
